codcnh,nombre,municipio,provincia,cod_postal,camas,clase,dependencia,complejo
330306,Hospital del Oriente de Asturias Francisco Grande Covian,Parres,Asturias,33540,90,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
330313,Hospital de Luarca,Valdés,Asturias,33700,19,Otros Centros con Internamiento,Privados,
330321,Centro Salud Mental Perez Espinosa,Llanera,Asturias,33690,35,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
330322,Cti de La Corredoria,Oviedo,Asturias,33011,22,Otros Centros con Internamiento,Servicios e Institutos de Salud de Las Comunidades Autónomas,
330325,Hospital Vital Alvarez Buylla,Mieres,Asturias,33619,176,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
330332,Clínica Psiquiatrica Somio,Gijón,Asturias,33203,40,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
330354,Hospital Gijón,Gijón,Asturias,33201,32,Hospitales de media y larga estancia,Privados,
330365,Centro Terapeutico Vista Alegre,Gijón,Asturias,33203,28,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
330376,Instituto Oftalmológico Fernandez-Vega,Oviedo,Asturias,33012,13,Hospitales especializados,Privados,
330409,Centro de Tratamiento Integral Montevil,Gijón,Asturias,33210,21,Otros Centros con Internamiento,Servicios e Institutos de Salud de Las Comunidades Autónomas,
340014,Hospital Rio Carrión. Complejo Asistencial Universitario de Palencia.,Palencia,Palencia,34005,376,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Asistencial Universitario de Palencia
340029,Hospital San Telmo. Complejo Asistencial Universitario de Palencia.,Palencia,Palencia,34004,119,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Asistencial Universitario de Palencia
340035,Hospital Psiquiátrico San Luis,Palencia,Palencia,34004,206,Hospitales de salud mental y tratamiento de toxicomanías,Organizaciones No Gubernamentales,
340040,Área Psiquiatrica San Juan de Dios,Palencia,Palencia,34005,97,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
340053,Hospital Recoletas de Palencia,Palencia,Palencia,34005,22,Hospitales Generales,Privados,
350069,Hospital Universitario de Salud Mental Juan Carlos I,"Palmas de Gran Canaria, Las",Las Palmas,35014,119,Hospitales de salud mental y tratamiento de toxicomanías,Otros Centros o Establecimientos Públicos de Dependencia Autonómica,Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín
350115,Hospital San José,"Palmas de Gran Canaria, Las",Las Palmas,35008,66,Hospitales Generales,Privados,
350120,Hospital Universitario Vithas Las Palmas,"Palmas de Gran Canaria, Las",Las Palmas,35005,157,Hospitales Generales,Privados,
350154,Hospital La Paloma,"Palmas de Gran Canaria, Las",Las Palmas,35005,108,Hospitales Generales,Privados,
350167,Clínica Cajal,"Palmas de Gran Canaria, Las",Las Palmas,35003,136,Hospitales Generales,Privados,
350173,Hospital Universitario San Roque Las Palmas,"Palmas de Gran Canaria, Las",Las Palmas,35001,162,Hospitales Generales,Privados,
350192,Clínica Bandama,"Palmas de Gran Canaria, Las",Las Palmas,35017,64,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
350206,Hospital Perpetuo Socorro,"Palmas de Gran Canaria, Las",Las Palmas,35007,195,Hospitales Generales,Privados,
350228,Hospital Universitario Dr. José Molina Orosa,Arrecife,Las Palmas,35500,252,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
350249,Hospital Insular de Lanzarote,Arrecife,Las Palmas,35500,80,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,
350252,Hospital General de Fuerteventura,Puerto del Rosario,Las Palmas,35600,131,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
350265,Quinta Medica de Reposo,Santa Brígida,Las Palmas,35300,60,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
350271,Hospital San Roque de Guía,Santa María de Guía de Gran Canaria,Las Palmas,35450,54,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín
350287,Hospital Ciudad de Telde,Telde,Las Palmas,35212,154,Hospitales de media y larga estancia,Privados,
350290,Complejo Hospitalario Universitario Insular Materno Infantil,"Palmas de Gran Canaria, Las",Las Palmas,35016,916,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
350304,Hospiten Clínica Roca San Agustín,San Bartolomé de Tirajana,Las Palmas,35100,81,Hospitales Generales,Privados,
350311,Hospital Universitario de Gran Canaria Dr. Negrín,"Palmas de Gran Canaria, Las",Las Palmas,35012,652,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín
350326,Hospiten Lanzarote,Tías,Las Palmas,35572,61,Hospitales Generales,Privados,
350367,Hospital Universitario San Roque Maspalomas,San Bartolomé de Tirajana,Las Palmas,35100,147,Hospitales Generales,Privados,
350389,Hospital Parque Fuerteventura,Puerto del Rosario,Las Palmas,35600,22,Otros Centros con Internamiento,Privados,
350401,Centro Sanitario Residencial Las Palmas (Cesar Las Palmas),"Palmas de Gran Canaria, Las",Las Palmas,35011,52,Hospitales de media y larga estancia,Privados,
350402,Hospital Polivalente Anexo Juan Carlos I,"Palmas de Gran Canaria, Las",Las Palmas,35014,54,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín
360059,Grupo Quironsalud Pontevedra,Pontevedra,Pontevedra,36001,127,Hospitales Generales,Privados,
360160,"Fremap, Hospital de Vigo",Vigo,Pontevedra,36203,17,Hospitales especializados,Mútuas Colaboradoras con La Seguridad Social,
360182,Hospital Ribera Povisa,Vigo,Pontevedra,36211,573,Hospitales Generales,Privados,
360209,Vithas Hospital Nosa Señora de Fátima,Vigo,Pontevedra,36206,200,Hospitales Generales,Privados,
360216,Concheiro Centro Medico Quirúrgico,Vigo,Pontevedra,36204,40,Hospitales Generales,Privados,
360255,Centro Medico Pintado,Vigo,Pontevedra,36203,12,Hospitales Generales,Privados,
360268,Hestia San José,Vigo,Pontevedra,36208,48,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
360274,Clínica Residencia El Pinar,Vigo,Pontevedra,36214,84,Hospitales de salud mental y tratamiento de toxicomanías,Privados,
360340,Complexo Hospitalario Universitario de Pontevedra,Pontevedra,Pontevedra,36071,584,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
360353,Hospital Publico Do Salnes,Vilagarcía de Arousa,Pontevedra,36619,131,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
360368,Complexo Hospitalario Universitario de Vigo,Vigo,Pontevedra,36312,1261,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
370037,Hospital Universitario de Salamanca. Complejo Asistencial Universitario de Salmanca,Salamanca,Salamanca,37007,814,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Asistencial Universitario de Salamanca
370055,Hospital General de La Santísima Trinidad,Salamanca,Salamanca,37007,106,Hospitales Generales,Privados,
370074,Hospital Los Montalvos. Complejo Asistencial Universitario de Salamanca.,Carrascal de Barregas,Salamanca,37192,183,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Asistencial Universitario de Salamanca
380027,Hospital Universitario Nuestra Señora de Candelaria,Santa Cruz de Tenerife,Santa Cruz De Tenerife,38010,839,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario Universitario Nuestra Señora de Candelaria
380033,Hospital de Ofra,Santa Cruz de Tenerife,Santa Cruz De Tenerife,38010,63,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario Universitario Nuestra Señora de Candelaria
380048,Unidades Clínicas y de Rehabilitación de Salud Mental,Santa Cruz de Tenerife,Santa Cruz De Tenerife,38006,94,Hospitales de salud mental y tratamiento de toxicomanías,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario Universitario de Canarias
380064,Hospital San Juan de Dios Tenerife,Santa Cruz de Tenerife,Santa Cruz De Tenerife,38009,141,Hospitales Generales,Organizaciones No Gubernamentales,
380086,Hospital Quirón Salud Tenerife,Santa Cruz de Tenerife,Santa Cruz De Tenerife,38006,187,Hospitales Generales,Privados,
380099,Vithas Hospital Santa Cruz,Santa Cruz de Tenerife,Santa Cruz De Tenerife,38006,62,Hospitales Generales,Privados,
380103,Hospital Parque,Santa Cruz de Tenerife,Santa Cruz De Tenerife,38003,67,Hospitales Generales,Privados,
380146,Hospital Universitario Hospiten Sur,Arona,Santa Cruz De Tenerife,38660,242,Hospitales Generales,Privados,
380178,Hospital Universitario de Canarias,San Cristóbal de La Laguna,Santa Cruz De Tenerife,38320,681,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario Universitario de Canarias
380201,Hospital Quironsalud Vida,"Orotava, La",Santa Cruz De Tenerife,38312,24,Hospitales Generales,Privados,
380223,Hospital Universitario Hospiten Bellevue,Puerto de la Cruz,Santa Cruz De Tenerife,38400,199,Hospitales Generales,Privados,
380244,Hospital Nuestra Señora de Guadalupe,San Sebastián de la Gomera,Santa Cruz De Tenerife,38800,40,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
380276,Hospital Insular Nuestra Señora de Los Reyes,Valverde,Santa Cruz De Tenerife,38900,32,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
380282,Hospital Quirón Salud Costa Adeje,Adeje,Santa Cruz De Tenerife,38660,62,Hospitales Generales,Privados,
380295,Hospital Universitario Hospiten Rambla,Santa Cruz de Tenerife,Santa Cruz De Tenerife,38001,97,Hospitales Generales,Privados,
380316,Hospital Universitario General de La Palma,Breña Alta,Santa Cruz De Tenerife,38713,198,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
380337,Hospital del Norte,Icod de los Vinos,Santa Cruz De Tenerife,38437,51,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario Universitario de Canarias
380348,Hospital del Sur,Arona,Santa Cruz De Tenerife,38652,98,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario Universitario Nuestra Señora de Candelaria
380359,Clínica Tara,Tacoronte,Santa Cruz De Tenerife,38399,12,Otros Centros con Internamiento,Privados,
380361,Centro Asistencial Polivalente USAN,Santa Cruz de Tenerife,Santa Cruz De Tenerife,38010,74,Otros Centros con Internamiento,Servicios e Institutos de Salud de Las Comunidades Autónomas,Complejo Hospitalario Universitario Nuestra Señora de Candelaria
390015,Hospital Universitario Marques de Valdecilla,Santander,Cantabria,39008,923,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,
390041,Hospital Mutua Montañesa,Santander,Cantabria,39012,30,Hospitales especializados,Mútuas Colaboradoras con La Seguridad Social,
