cod_postal,lat,lon,town
03795,38.80626,-0.06864,Tormos
03800,38.7054,-0.4743,Alcoi/Alcoy
03801,38.7054,-0.4743,Alcoi/Alcoy
03802,38.7054,-0.4743,Alcoi/Alcoy
03803,38.7054,-0.4743,Alcoi/Alcoy
03804,38.7054,-0.4743,Alcoi/Alcoy
03810,38.7001,-0.389,Benilloba
03811,38.72143,-0.33647,Quatretondeta
03812,38.73913,-0.32973,Balones
03813,38.74117,-0.26303,Famorca
03814,38.6866,-0.3402,Alcoleja
03815,38.68,-0.3584,Penaguila
03816,38.6627,-0.3997,Benifallim
03819,38.6398,-0.4661,La Canaleta
03820,38.74207,-0.43865,Algars
03827,38.7633,-0.3748,Benillup
03828,38.78165,-0.32527,Catamarruch
03829,38.7667,-0.4167,"Alqueria D'Asnar, L'"
03830,38.7812,-0.4361,"Plana, La (Muro Alcoy) (Urbanizacion)"
03837,38.7801,-0.516,Agres
03838,38.7728,-0.5553,Alfafara
03839,38.7926,-0.42825,Turballos
03840,38.8127,-0.4089,Gaianes
03841,38.795,-0.4024,Alcocer De Planes
03850,38.8202,-0.3774,Beniarres
03860,38.85,-0.3,"Lorcha/Orxa, L'"
03870,38.7009,-0.4251,Penella
04001,36.8381,-2.4597,Almeria
04002,36.8381,-2.4597,Almeria
04003,36.8381,-2.4597,Almeria
04004,36.8381,-2.4597,Almeria
04005,36.8381,-2.4597,Almeria
04006,36.8381,-2.4597,Almeria
04007,36.8381,-2.4597,Almeria
04008,36.8381,-2.4597,Almeria
04009,36.8381,-2.4597,Almeria
04070,36.8381,-2.4597,Almeria
04071,36.8381,-2.4597,Almeria
04080,36.8381,-2.4597,Almeria
04100,36.9665,-2.2059,Nijar
04110,36.938,-2.1323,Campohermoso
04113,36.8804,-2.18225,Atochares
04114,36.9877,-2.1075,Torre Del Campo
04115,36.8471,-2.0413,Rodalquilar
04116,36.87276,-2.0341,Hornillos
04117,36.84439,-2.15222,Los Nietos
04118,36.7926,-2.07483,Los Escullos
04119,36.9868,-2.2228,Huebro
04120,36.84617,-2.39995,Costacabana
04130,36.8526,-2.3531,El Alquian
04131,36.8445,-2.3073,Retamar
04140,36.99805,-1.8953,Carboneras
04149,37.01007,-1.93375,Aguamarga
04150,36.7823,-2.242,El Cabo De Gata
04151,36.87493,-2.31182,Pujaire (Almeria)
04160,36.9267,-2.2979,Cuevas De Los Ubedas
04200,37.0477,-2.36079,"Nudos, Los (Tabernas)"
04210,37.0404,-2.201,Lucainena De Las Torres
04211,37.02331,-2.37439,La Vega
04212,37.15726,-2.43488,Velefique
04213,37.1924,-2.3126,"Nudos, Los (Senes)"
04230,36.88868,-2.4403,Huercal De Almeria
04240,36.88057,-2.4241,Viator
04250,36.9173,-2.4394,Pechina
04259,36.9608,-2.3967,Sierra Alhamilla
04260,36.9454,-2.461,Rioja
04270,37.0902,-2.1276,Sorbas
04271,37.20283,-2.0822,Los Jarales
04274,37.1846,-2.2049,"Rincon, El (Uleila Del Campo)"
04275,37.20423,-2.29287,Cocon Del Peral
04276,37.21972,-2.26184,Benitagla
04277,37.06494,-2.02751,Carrasco
04278,37.14798,-2.08537,Los Andreses
04279,37.13291,-2.1582,Uleila Del Campo
04280,37.1684,-1.9404,Los Gallardos
04288,37.17921,-1.99248,Los Collados
04289,37.12597,-2.01215,Almocaizar
04400,36.9569,-2.5686,Alhama De Almeria
04409,36.9669,-2.60575,Huecija
04410,36.9201,-2.4558,El Chuche
04420,36.9748,-2.5313,La Calderona
04430,36.9934,-2.6605,Instincion
04431,36.9858,-2.6394,Illar
04440,36.9952,-2.6818,Ragol
04450,36.99925,-2.7371,Canjayar
04458,37.0044,-2.78513,Almocita
04459,37.05025,-2.7401,Tices
04460,36.9802,-2.8596,Fondon
04470,36.9952,-2.8903,Laujar De Andarax
04479,37.00628,-2.92586,Benecid
04480,36.9739,-2.9613,Alcolea
04500,37.1712,-2.84023,Fiñana
04510,37.15474,-2.7773,Montagon
04520,37.1328,-2.7968,Abrucena
04530,37.1326,-2.72003,"Soleres, Les"
04531,37.0331,-2.6216,Alboloduy
04532,37.16788,-2.7273,El Haza Del Riego
04533,37.1167,-2.8,Los Monjos
04540,37.1418,-2.65945,Los Sanchos
04549,37.19672,-2.72422,Aulago
04550,37.10078,-2.51703,Gergal
04558,37.09145,-2.58435,Las Alcubillas
04559,37.11483,-2.53507,Las Aneas
04560,36.95408,-2.4846,Las Minas
04567,36.9899,-2.5868,Alhabia
04568,37.00995,-2.59895,Santa Cruz De Marchena
04569,36.98565,-2.6082,Terque
04600,37.40343,-1.98577,San Francisco
04610,37.28712,-1.87198,Calguerin
04616,37.2491,-1.7714,Villaricos
04617,37.2462,-1.7968,Palomares
04618,37.27712,-1.81464,Las Herrerias
04619,37.3126,-1.80989,Arnilla
04620,37.2475,-1.8684,Vera
04621,37.20477,-1.81467,Las Marinas
04628,37.23897,-1.91642,El Real
04629,37.25033,-1.9377,Jauro (Antas)
04630,37.1805,-1.8232,Garrucha
04638,37.10558,-1.857,"Parata, La (Mojacar)"
04639,37.15223,-1.89493,El Cortijo Grande
04640,37.4115,-1.745,Pulpi
04647,37.40371,-1.76922,La Fuente
04648,37.34043,-1.73551,San Juan De Los Terreros
04649,37.3853,-1.7527,"Estacion, La (San Miguel De Pulpi)"
04650,37.34824,-2.02574,Los Menchones
04660,37.34467,-2.09024,"Rincon, El (La Cinta)"
04661,37.3662,-2.03958,La Alfoquia
